run,mode
303110,DECO
304665,DECO
300211,DECO
297117,DECO
297118,DECO
297119,DECO
299502,DECO
300761,DECO
306900,DECO
306901,DECO
305638,DECO
306904,DECO
301233,DECO
299620,DECO
306301,DECO
306304,DECO
304602,DECO
297622,DECO
297623,DECO
297624,DECO
305734,PEAK
301845,DECO
301843,DECO
301332,DECO
301333,DECO
301848,DECO
301334,DECO
301335,DECO
295815,DECO
295814,DECO
301684,DECO
295816,DECO
299462,DECO
295819,DECO
295818,DECO
301688,DECO
299189,DECO
299188,DECO
300165,DECO
299187,DECO
298214,DECO
298215,DECO
297936,DECO
297937,DECO
298211,DECO
296762,DECO
296761,DECO
297938,DECO
297939,DECO
307022,DECO
300645,DECO
299946,DECO
301242,DECO
299942,DECO
298197,DECO
299534,DECO
299535,DECO
299532,DECO
302592,DECO
305845,DECO
305847,DECO
305849,DECO
300133,DECO
